2026-09-24 03:45:47 | INFO | ✓ 102/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_02_a.p...
2026-09-24 03:45:48 | INFO | ✓ 103/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_03_a.p...
2026-09-24 03:45:50 | INFO | ✓ 104/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_04_a.p...
2026-09-24 03:45:51 | INFO | ✓ 105/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_01_b.p...
2026-09-24 03:45:52 | INFO | ✓ 106/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_02_b.p...
2026-09-24 03:45:53 | INFO | ✓ 107/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_03_b.p...
2026-09-24 03:45:55 | INFO | ✓ 108/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_04_b.p...
2026-09-24 03:45:56 | INFO | ✓ 109/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_01_c.p...
2026-09-24 03:45:57 | INFO | ✓ 110/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_02_c.p...
2026-09-24 03:45:58 | INFO | ✓ 111/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_03_c.p...
2026-09-24 03:46:00 | INFO | ✓ 112/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_04_c.p...
2026-09-24 03:46:01 | INFO | ✓ 113/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_05_a.p...
2026-09-24 03:46:02 | INFO | ✓ 114/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_06_a.p...
2026-09-24 03:46:03 | INFO | ✓ 115/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_07_a.p...
2026-09-24 03:46:04 | INFO | ✓ 116/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_05_b.p...
2026-09-24 03:46:06 | INFO | ✓ 117/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_06_b.p...
2026-09-24 03:46:07 | INFO | ✓ 118/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_07_b.p...
2026-09-24 03:46:08 | INFO | ✓ 119/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_05_c.p...
2026-09-24 03:46:09 | INFO | ✓ 120/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_06_c.p...
2026-09-24 03:46:11 | INFO | ✓ 121/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_07_c.p...
2026-09-24 03:46:12 | INFO | ✓ 122/9000 | Queue: 133 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_08_a.p...
2026-09-24 03:46:13 | INFO | ✓ 123/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_09_a.p...
2026-09-24 03:46:14 | INFO | ✓ 124/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_10_a.p...
2026-09-24 03:46:15 | INFO | ✓ 125/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_08_b.p...
2026-09-24 03:46:17 | INFO | ✓ 126/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_09_b.p...
2026-09-24 03:46:18 | INFO | ✓ 127/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_10_b.p...
2026-09-24 03:46:19 | INFO | ✓ 128/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_08_c.p...
2026-09-24 03:46:20 | INFO | ✓ 129/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_09_c.p...
2026-09-24 03:46:22 | INFO | ✓ 130/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_01_10_c.p...
2026-09-24 03:46:23 | INFO | ✓ 131/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_02_01.php...
2026-09-24 03:46:24 | INFO | ✓ 132/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_02_02.php...
2026-09-24 03:46:25 | INFO | ✓ 133/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/knowledge_02_03_01.php...
2026-09-24 03:46:26 | INFO | ✓ 134/9000 | Queue: 150 | ✅ https://www.mamypoko.com.tw/knowledge_02_03_02.php...
2026-09-24 03:46:28 | INFO | ✓ 135/9000 | Queue: 150 | ✅ https://www.mamypoko.com.tw/knowledge_02_04_01.php...
2026-09-24 03:46:29 | INFO | ✓ 136/9000 | Queue: 162 | ✅ https://www.mamypoko.com.tw/knowledge_02_04_02.php...
2026-09-24 03:46:30 | INFO | ✓ 137/9000 | Queue: 162 | ✅ https://www.mamypoko.com.tw/knowledge_02_05_01.php...
2026-09-24 03:46:31 | INFO | ✓ 138/9000 | Queue: 175 | ✅ https://www.mamypoko.com.tw/knowledge_02_05_02.php...
2026-09-24 03:46:33 | INFO | ✓ 139/9000 | Queue: 174 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
